"","species_name","cuid","cu_name_pse","biostatus","biostatus_type","curr_spw","curr_spw_end_year","cumulative_lopct","cumulative_modpct","cumulative_hipct","climate_exposure","pop_score","hab_score","clim_score","k_cluster","conservation_type"
"1","Chinook",303,"Lower Fraser River (Fall 4-1)","fair","percentile",65835,2023,0,100,0,0.186985478436534,-0.377349613175336,-0.279703574933368,-1.36128234407269,"1","Recovery"
"2","Chinook",304,"Lower Fraser River (Spring 5-2)","fair","percentile",214,2023,26.5247337046779,52.2683421000191,21.206924195303,0.214479110538835,0.141837518719623,-0.370706665235403,-0.911666828246528,"1","Recovery"
"3","Chinook",305,"Lower Fraser River-Upper Pitt (Summer 5-2)","poor","percentile",35,2023,33.7265185438363,27.7540231201267,38.519458336037,0.302429186816104,0.956126655282942,-0.197682522476913,0.526619636241544,"3","Sustained investment"
"4","Chinook",306,"Lower Fraser River (Summer 5-2)","fair","percentile",41,2023,48.5925602480408,51.4074397519592,0,0.249388460314462,-0.438746674549291,-1.11126272357599,-0.340778804135275,"5","Protection"
"5","Chinook",307,"Lower Fraser River-Maria Slough (Summer 4-1)","poor","percentile",38,2023,0,0,100,0.26839838381058,0.853420971970751,1.43158544626232,-0.0299011242885453,"4","Targeted restoration"
"6","Chinook",308,"Fraser Canyon-Nahatlatch (Spring 5-2)","fair","percentile",69,2023,49.5530981247531,25.43546704,25.0114348339412,0.284186486599432,-0.997827749548985,-0.699682364492528,0.228288697736898,"5","Protection"
"7","Chinook",309,"Middle Fraser River-Portage (Fall 5-2)","poor","percentile",50,2023,0,78.1242447035328,21.8757552964672,0.218654912284827,0.175223939190252,0.094653823758706,-0.843378096913179,"1","Recovery"
"8","Chinook",310,"Middle Fraser River (Spring 5-2)","poor","percentile",3484,2023,15.2802346800335,14.5498092220083,70.1699561,0.26972160126373,0.546718600867681,0.659618201561297,-0.0082619645174933,"4","Targeted restoration"
"9","Chinook",311,"Middle Fraser River (Summer 5-2)","fair","percentile",9836,2023,13.8269515722428,12.5671989783726,73.6058494493846,0.270366225856454,0.260104669200327,0.743286141429945,0.00227986632149415,"4","Targeted restoration"
"10","Chinook",312,"Upper Fraser River (Spring 5-2)","poor","percentile",8521,2023,52.0190008628111,11.1471230890132,36.8338760481756,0.355254774312155,0.81777106536652,-0.539564948741096,1.39049981338515,"3","Sustained investment"
"11","Chinook",313,"South Thompson River (Summer 4-1)","good","percentile",164489,2023,3.34824359628754,8.13290326065367,88.5188531430588,0.262438263242725,-1.79457486857689,1.17781171552597,-0.127369609846623,"2","Habitat restoration"
"12","Chinook",314,"South Thompson River (Summer 5-2)","fair","percentile",1371,2023,13.4042555942535,0,86.5957444057465,0.265881418480686,-0.497597314022943,0.972814337547382,-0.0710621706321504,"4","Targeted restoration"
"13","Chinook",315,"Shuswap River (Summer 4-1)","good","percentile",39420,2023,7.64452083,7.11000721936375,85.245471951102,0.249646627683995,-1.5752996493842,1.04827298196141,-0.336556879051308,"2","Habitat restoration"
"14","Chinook",316,"South Thompson River-Bessette Creek (Summer 4-2)","poor","percentile",7,2023,0,0,100,0.297470280636555,0.94226280271463,1.43158544626232,0.445524452034695,"4","Targeted restoration"
"15","Chinook",317,"Lower Thompson River (Spring 4-2)","fair","percentile",8703,2023,10.8120256381662,19.5826448861954,69.6053294756384,0.267697519107703,-0.439029610315991,0.726419778835513,-0.0413626745026408,"4","Targeted restoration"
"16","Chinook",318,"North Thompson River (Spring 5-2)","fair","percentile",394,2023,5.54640217142937,20.0941298735998,74.3594679549709,0.309302430002675,-0.137985954546925,0.897886864968553,0.639020819513001,"4","Targeted restoration"
"17","Chinook",319,"North Thompson River (Summer 5-2)","fair","percentile",3392,2023,14.4864472828105,10.8692308950802,74.6443218221093,0.286431325260705,-0.180709255318663,0.749771527442332,0.264999536409621,"4","Targeted restoration"
"18","Chum",701,"Lower Fraser","poor","percentile",572422,2022,13.4740619633133,23.9821028239144,62.5438352127723,0.147668233156859,0.869265374905966,0.560022067410242,-2.00425463131025,"1","Recovery"
"19","Coho",705,"Fraser Canyon","good","sr",4325,2022,35.7826895100712,19.510359234895,44.7069512550338,0.177515347790348,-1.85880128761785,-0.126983663469049,-1.51615157559447,"2","Habitat restoration"
"20","Coho",707,"Lower Thompson","good","sr",20738,2022,6.40362559048983,22.574409085024,71.0219653244861,0.16740199219851,-1.85880128761785,0.826102978613437,-1.68153974890814,"2","Habitat restoration"
"21","Coho",708,"South Thompson","good","sr",15367,2022,11.7192263531572,17.9901398039557,70.29063384,0.176942567768373,-1.85880128761785,0.722622490849955,-1.52551850041826,"2","Habitat restoration"
"22","Coho",709,"North Thompson","good","sr",24558,2022,19.4549979239692,8.99656017531123,71.5484419007196,0.182977253144922,-1.85880128761785,0.611765812603481,-1.42683062359174,"2","Habitat restoration"
"23","Pink",710,"Fraser River (odd)","good","sr",9542025,2023,12.7858901084107,23.2611419148805,63.9529679767088,0.193313143971039,-1.85307466769983,0.595913011093464,-1.25780323324856,"2","Habitat restoration"
"24","Sockeye",711,"Chilliwack-Early Summer (cyclic)","poor","sr",4276,2022,43.4702578356231,56.52974216,0,0.292537772364488,0.849209473083418,-1.02360532490965,0.364860964474731,"3","Sustained investment"
"25","Sockeye",712,"Cultus-Late","poor","percentile",233,2022,0,42.511705525355,57.488294474645,0.217469829480029,0.968292893251053,0.704087296883879,-0.862758279734909,"1","Recovery"
"26","Sockeye",713,"Harrison-Downstream Migrating-Late","poor","sr",398,2022,72.8860998801806,17.5448281342769,9.5690719855425,0.313963462956787,0.969546298697536,-1.36324092184172,0.715244751227371,"3","Sustained investment"
"27","Sockeye",714,"Harrison-Upstream Migrating-Late","poor","sr",6248,2022,0,0,100,0.29257557176232,0.95506281680015,1.43158544626232,0.365479114731886,"4","Targeted restoration"
"28","Sockeye",715,"Pitt-Early Summer","fair","sr",10825,2022,74.0784059904378,18.0664578488777,7.85513616068452,0.302492596241404,-0.20059539568119,-1.41297512100673,0.527656598595533,"5","Protection"
"29","Sockeye",716,"Lillooet-Harrison-Late","poor","sr",18559,2022,76.6456895579273,18.975897857432,4.37841258464067,0.251127749301049,0.815615094824264,-1.51640555169431,-0.312335442706517,"5","Protection"
"30","Sockeye",718,"Nahatlatch-Early Summer","fair","sr",3004,2022,82.4733105225057,10.1906560559874,7.33603342150686,0.322963138417974,-0.441424661581109,-1.56551954878815,0.862420421204092,"5","Protection"
"31","Sockeye",719,"Anderson-Seton-Early Summer","fair","sr",9246,2022,63.951734057503,24.2718792332411,11.7763867092559,0.307941966487353,0.0213747866893236,-1.17257456587463,0.616772558427375,"5","Protection"
"32","Sockeye",721,"Chilko-Summer","fair","sr",295505,2022,94.90306008,5.096939924,0,0.333057604242595,-0.43502889857485,-1.90376922272425,1.02749968180665,"5","Protection"
"33","Sockeye",725,"Francois-Fraser-Summer","fair","sr",74239,2022,2.54019135269576,5.2463850570616,92.2134235902427,0.319131508908501,-0.31477978304841,1.25486460329909,0.799760090552026,"4","Targeted restoration"
"34","Sockeye",727,"Nadina-Francois-Early Summer","fair","sr",41381,2022,2.54019135269576,5.2463850570616,92.2134235902427,0.296238595633757,-0.800487125669728,1.25486460329909,0.425382162874507,"4","Targeted restoration"
"35","Sockeye",728,"Quesnel-Summer (cyclic)","poor","sr",34957,2022,49.0265831277919,10.926323787533,40.0470930846751,0.318589691716948,0.970556379384655,-0.433368602200589,0.790899514577301,"3","Sustained investment"
"36","Sockeye",729,"Seton-Late (de novo)","poor","sr",863,2022,63.951734057503,24.2718792332411,11.7763867092559,0.224023674690959,0.970556379384655,-1.17257456587463,-0.755580352708291,"1","Recovery"
"37","Sockeye",731,"Takla-Trembleur-Stuart-Summer (cyclic)","poor","sr",31079,2022,35.0910179005141,21.1972531593676,43.7117289401182,0.296872054942984,0.970556379384655,-0.132178293363621,0.435741402898278,"3","Sustained investment"
"38","Sockeye",732,"Takla-Trembleur-Early Stuart (cyclic)","poor","sr",1377,2022,52.019079437779,25.3471969336988,22.6337236285222,0.334930855694743,0.970556379384655,-0.782571942736473,1.05813379063576,"3","Sustained investment"
"39","Sockeye",734,"Taseko-Early Summer","fair","percentile",534,2022,91.12778989,5.67481441688331,3.19739569593527,0.344958042458043,-0.444405389883296,-1.78444675697403,1.2221128070164,"5","Protection"
"40","Sockeye",735,"Bowron-Early Summer","poor","sr",511,2022,90.91081489,9.089185111,0,0.428542368125702,0.970219685822282,-1.83545036919125,2.58900422246168,"3","Sustained investment"
"41","Sockeye",738,"Shuswap-Early Summer (cyclic)","poor","sr",15729,2022,31.7525348029032,14.2248169013749,54.0226482957219,0.31658095722238,0.970556379384655,0.101402432277063,0.75804979168247,"3","Sustained investment"
"42","Sockeye",739,"Shuswap-Late (cyclic)","poor","sr",7519,2022,31.7525348029032,14.2248169013749,54.0226482957219,0.264173987616221,0.969882992259909,0.101402432277063,-0.0989845421110242,"1","Recovery"
"43","Sockeye",740,"Kamloops-Early Summer","poor","sr",4071,2022,30.8571499919135,14.74120352,54.401646492523,0.313009915568803,0.590276562151184,0.123210808929199,0.699650969397533,"3","Sustained investment"
"44","Sockeye",742,"Widgeon (river-type)","fair","percentile",186,2022,0,0,100,0.29403424091375,-0.321328331368687,1.43158544626232,0.389333375984076,"4","Targeted restoration"
"45","Sockeye",745,"Harrison River (river-type)","fair","sr",26834,2022,0,100,0,0.300453211720238,0.122759159971024,-0.279703574933368,0.494305642270807,"3","Sustained investment"
"46","Coho",749,"Interior Fraser","good","sr",10861,2022,32.6507728088505,22.89300687257,44.4562203185795,0.144976402153751,-1.85880128761785,-0.0776782477963564,-2.04827533328502,"2","Habitat restoration"
"47","Sockeye",752,"North Barriere-Early Summer (de novo)","poor","sr",1249,2022,11.3019605775049,28.9418681329852,59.7561712895099,0.379455440776381,0.95708297817439,0.549488013288198,1.78626400689595,"3","Sustained investment"
"48","Steelhead",780,"Mid Fraser Summer","poor","percentile",47,2023,62.2527481135757,20.1548998246373,17.592352061787,0.197787164022063,0.969141700551154,-1.04397202939015,-1.18463760618361,"1","Recovery"
"49","Steelhead",781,"Thompson Summer","poor","percentile",261,2023,10.5330578551776,26.18411747221,63.2828246726124,0.228675052041288,0.970273443617955,0.622997393319723,-0.679514323349614,"1","Recovery"
