cuid,pop_score,hab_score,clim_score
303,-0.377349613,-0.279703575,-1.361282344
304,0.141837519,-0.370706665,-0.911666828
305,0.956126655,-0.197682522,0.526619636
306,-0.438746675,-1.111262724,-0.340778804
307,0.853420972,1.431585446,-0.029901124
308,-0.99782775,-0.699682364,0.228288698
309,0.175223939,0.094653824,-0.843378097
310,0.546718601,0.659618202,-0.008261965
311,0.260104669,0.743286141,0.002279866
312,0.817771065,-0.539564949,1.390499813
313,-1.794574869,1.177811716,-0.12736961
314,-0.497597314,0.972814338,-0.071062171
315,-1.575299649,1.048272982,-0.336556879
316,0.942262803,1.431585446,0.445524452
317,-0.43902961,0.726419779,-0.041362675
318,-0.137985955,0.897886865,0.63902082
319,-0.180709255,0.749771527,0.264999536
701,0.869265375,0.560022067,-2.004254631
705,-1.858801288,-0.126983663,-1.516151576
707,-1.858801288,0.826102979,-1.681539749
708,-1.858801288,0.722622491,-1.5255185
709,-1.858801288,0.611765813,-1.426830624
710,-1.853074668,0.595913011,-1.257803233
711,0.849209473,-1.023605325,0.364860964
712,0.968292893,0.704087297,-0.86275828
713,0.969546299,-1.363240922,0.715244751
714,0.955062817,1.431585446,0.365479115
715,-0.200595396,-1.412975121,0.527656599
716,0.815615095,-1.516405552,-0.312335443
718,-0.441424662,-1.565519549,0.862420421
719,0.021374787,-1.172574566,0.616772558
721,-0.435028899,-1.903769223,1.027499682
725,-0.314779783,1.254864603,0.799760091
727,-0.800487126,1.254864603,0.425382163
728,0.970556379,-0.433368602,0.790899515
729,0.970556379,-1.172574566,-0.755580353
731,0.970556379,-0.132178293,0.435741403
732,0.970556379,-0.782571943,1.058133791
734,-0.44440539,-1.784446757,1.222112807
735,0.970219686,-1.835450369,2.589004222
738,0.970556379,0.101402432,0.758049792
739,0.969882992,0.101402432,-0.098984542
740,0.590276562,0.123210809,0.699650969
742,-0.321328331,1.431585446,0.389333376
745,0.12275916,-0.279703575,0.494305642
749,-1.858801288,-0.077678248,-2.048275333
752,0.957082978,0.549488013,1.786264007
780,0.969141701,-1.043972029,-1.184637606
781,0.970273444,0.622997393,-0.679514323